listing_key,listing_id,unparsed_address,city,postal_code,property_sub_type,list_price,bedrooms_total,bathrooms_total_integer,living_area,association_fee,days_on_market,public_remarks
DEMO-001,DEMO-001,128 Demo Oak Drive,Irvine,92618,SingleFamilyResidence,1295000,3,3,1850,0,18,"Bright three-bedroom demonstration home with open living space, attached garage, and landscaped backyard."
DEMO-002,DEMO-002,245 Sample Canyon Road,Irvine,92618,SingleFamilyResidence,1425000,4,3,2150,0,27,"Four-bedroom demonstration property with renovated kitchen, two-car garage, and spacious outdoor area."
DEMO-003,DEMO-003,381 Example Grove Lane,Irvine,92620,SingleFamilyResidence,1575000,4,3,2350,0,11,"Modern demonstration residence with high ceilings, flexible office space, and private backyard."
DEMO-004,DEMO-004,92 Portfolio Park Way,Irvine,92612,Condominium,875000,2,2,1320,485,35,"Two-bedroom demonstration condominium with balcony, community pool, and convenient garage parking."
DEMO-005,DEMO-005,517 Synthetic Lake Court,Irvine,92614,Condominium,995000,3,2,1510,520,22,"Three-bedroom demonstration condominium near parks with updated interiors and community amenities."
DEMO-006,DEMO-006,744 Demo Vista Avenue,Pasadena,91101,Condominium,825000,2,2,1250,410,31,"Demonstration condominium with city views, updated kitchen, and secured parking."
DEMO-007,DEMO-007,315 Sample Rose Street,Pasadena,91104,SingleFamilyResidence,1195000,3,2,1725,0,24,"Charming demonstration home with three bedrooms, detached garage, and landscaped yard."
DEMO-008,DEMO-008,860 Example Hill Drive,Pasadena,91107,SingleFamilyResidence,1485000,4,3,2210,0,16,"Spacious demonstration property with mountain views, renovated living areas, and large backyard."
DEMO-009,DEMO-009,120 Portfolio Palm Avenue,San Diego,92101,Condominium,795000,2,2,1180,550,29,"Downtown demonstration condominium with balcony, modern finishes, and assigned parking."
DEMO-010,DEMO-010,633 Synthetic Coast Drive,San Diego,92109,SingleFamilyResidence,1395000,3,3,1900,0,14,"Coastal-style demonstration residence with open floor plan, garage, and outdoor entertaining space."
DEMO-011,DEMO-011,455 Demo Sunset Street,Los Angeles,90026,SingleFamilyResidence,1245000,3,2,1680,0,21,"Demonstration Los Angeles home with updated interior, flexible workspace, and private patio."
DEMO-012,DEMO-012,901 Sample Garden Avenue,Los Angeles,90042,SingleFamilyResidence,1095000,3,2,1590,0,38,"Three-bedroom demonstration home with landscaped garden, garage, and renovated kitchen."
DEMO-013,DEMO-013,211 Example Harbor Way,San Diego,92103,Condominium,925000,2,2,1375,475,19,"Demonstration condo with open living area, balcony, community amenities, and secured parking."
DEMO-014,DEMO-014,670 Portfolio Ridge Road,Pasadena,91105,SingleFamilyResidence,1625000,4,3,2440,0,12,"Four-bedroom demonstration home with hillside views, large living area, and two-car garage."
DEMO-015,DEMO-015,340 Synthetic Creek Lane,Irvine,92603,SingleFamilyResidence,1695000,4,3,2480,0,9,"Four-bedroom demonstration residence with open kitchen, office, garage, and landscaped outdoor space."
